CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
1257,"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS, EDUCAÇÃO E LETRAS",FACEL,Privada,N,N,N,Faculdade,000000004106902,Curitiba,PR,Extinta
1336,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,FAG,Privada,N,N,N,Centro Universitário,000000004104808,Cascavel,PR,Ativa
24214,Faculdade dos Gênios,FAGENIUS,Privada,N,N,N,Faculdade,000000003131307,Ipatinga,MG,Ativa
152,FACULDADE DE CIÊNCIAS CONTÁBEIS,FACIC,Privada,N,N,N,Faculdade,000000002927408,Salvador,BA,Ativa
627,FACULDADE CNEC VARGINHA,null,Privada,S,N,N,Faculdade,000000003170701,Varginha,MG,Ativa
2454,FACULDADE MAFRENSE DE TURISMO E CIÊNCIAS HUMANAS DE TERESINA,FAMA,Privada,N,N,N,Faculdade,000000002211001,Teresina,PI,Extinta
416,FACULDADE DE SÃO PAULO,FASP,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
18956,Faculdade de Ciências e Tecnologia de Janaúba,FACITEC,Privada,N,N,N,Faculdade,000000003135100,Janaúba,MG,Ativa
5403,CENTRO UNIVERSITÁRIO OPET,Uniopet,Privada,N,N,N,Centro Universitário,000000004106902,Curitiba,PR,Ativa
2500,FACULDADE EINSTEIN,null,Privada,N,N,N,Faculdade,000000002927408,Salvador,BA,Ativa
18734,Faculdade de Martinópolis,FAMA,Privada,N,N,N,Faculdade,000000003529203,Martinópolis,SP,Ativa
2575,FACULDADES INTEGRADAS SOARES DE OLIVEIRA,FISO,Privada,N,N,N,Faculdade,000000003505500,Barretos,SP,Ativa
21238,Faculdade Anhanguera de São José do Rio Preto,FASJRP,Privada,N,N,N,Faculdade,000000003549805,São José do Rio Preto,SP,Ativa
19838,Faculdade Lusitana de Pernambuco,FALUP,Privada,N,N,N,Faculdade,000000002604007,Carpina,PE,Ativa
4070,ESCOLA AGROTÉCNICA FEDERAL DE SALINAS,EAFSALINAS,Pública,N,N,N,Faculdade,000000003157005,Salinas,MG,Extinta
23089,FACULDADE DE NOVA MUTUM - FAMUTUM,FAMUTUM,Privada,N,N,N,Faculdade,000000005106224,Nova Mutum,MT,Ativa
21687,FACULDADE ANHANGUERA ITABIRA,null,Privada,N,N,N,Faculdade,000000003131703,Itabira,MG,Ativa
34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,FATEC-SP,Pública,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
4024,FACULDADE DE TECNOLOGIA DE MOCOCA,FATEC,Pública,N,N,N,Faculdade,000000003530508,Mococa,SP,Ativa
216,Centro Universitário Dom Helder,UNIDOM,Privada,S,N,N,Centro Universitário,000000003106200,Belo Horizonte,MG,Ativa
403,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,Privada,S,S,N,Universidade,000000005300108,Brasília,DF,Ativa
2620,FACULDADE DE AMPÉRE,FAMPER,Privada,N,N,N,Faculdade,000000004101002,Ampére,PR,Ativa
13735,"FACULDADE DE TECNOLOGIA, CAPACITAÇÃO E GESTÃO INTEGRAL",FAINTEC,Privada,N,N,N,Faculdade,000000004106902,Curitiba,PR,Extinta
21200,Faculdade ISMD,ISMD,Privada,N,N,N,Faculdade,000000003106200,Belo Horizonte,MG,Ativa
1753,FACULDADE DE ENFERMAGEM NOVA ESPERANÇA,FACENE,Privada,N,N,N,Faculdade,000000002507507,João Pessoa,PB,Ativa
3770,FACULDADE TEOLÓGICA BATISTA DE SÃO PAULO,FTBSP,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
271,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,Privada,N,N,N,Universidade,000000003541406,Presidente Prudente,SP,Ativa
1030,CENTRO UNIVERSITÁRIO IBMEC RIO DE JANEIRO,IBMEC RJ,Privada,N,N,N,Centro Universitário,000000003304557,Rio de Janeiro,RJ,Ativa
757,Centro Universitário da Amazônia,Unama,Privada,N,N,N,Centro Universitário,000000001506807,Santarém,PA,Ativa
15709,Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar,Fatec Osasco,Pública,N,N,N,Faculdade,000000003534401,Osasco,SP,Ativa
17887,Faculdade de Ciências Médicas de São José dos Campos,,Privada,N,N,N,Faculdade,000000003549904,São José dos Campos,SP,Ativa
30385,Instituto Brasileiro de Formação Profissional,IBFP,Privada,N,N,N,Faculdade,000000003554508,Tietê,SP,Ativa
26909,Escola Saúde Pública - ESPMT,ESPMT,Privada,N,N,N,Escola de Governo,000000005103403,Cuiabá,MT,Ativa
12421,FACULDADES COC DE SÃO PAULO,FACOCSP,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Extinta
24687,FACULDADE DE MEDICINA ESTÁCIO DE CASTANHAL,ESTÁCIO FMEC,Privada,N,N,N,Faculdade,000000001502400,Castanhal,PA,Ativa
2613,Centro Universitário Estácio Meta de Rio Branco Estácio,UNIMETA,Privada,N,N,N,Centro Universitário,000000001200401,Rio Branco,AC,Ativa
28922,Faculdade Senac RN,Fasern,Privada,N,N,N,Faculdade,000000002408102,Natal,RN,Ativa
24527,Escola de Saúde da Santa Casa de Campo Grande,Escola de Saúde,Privada,N,N,N,Faculdade,000000005002704,Campo Grande,MS,Ativa
1766,FACULDADE ESPÍRITO SANTENSE,UNICAPE,Privada,N,N,N,Faculdade,000000003201308,Cariacica,ES,Ativa
2014,FACULDADE SETELAGOANA DE CIÊNCIAS GERENCIAIS,FASCIG,Privada,N,N,N,Faculdade,000000003167202,Sete Lagoas,MG,Extinta
22625,FACULDADE BOOKPLAY,null,Privada,N,N,N,Faculdade,000000003557105,Votuporanga,SP,Ativa
4868,FACULDADE HSM,null,Privada,N,N,N,Faculdade,000000003547502,Santa Rita do Passa Quatro,SP,Extinta
3191,INSTITUTO SUPERIOR DE EDUCAÇÃO DE SANTA CATARINA,ISESC,Privada,N,N,N,Instituto Superior ou Escola Superior,000000004209102,Joinville,SC,Extinta
13811,TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS,null,Privada,N,N,N,Faculdade,000000003304557,Rio de Janeiro,RJ,Extinta
25474,Faculdade Microlins,FAMIC,Privada,N,N,N,Faculdade,000000003511102,Catanduva,SP,Ativa
19739,Faculdade de Tecnologia de Campinas,FATEC CAMPINAS,Pública,N,N,N,Faculdade,000000003509502,Campinas,SP,Ativa
364,FACULDADE DE CIÊNCIAS CONTÁBEIS DE PONTE NOVA,FACE,Privada,N,N,N,Faculdade,000000003152105,Ponte Nova,MG,Extinta
2896,Centro Universitário SATC,UniSATC,Privada,S,N,N,Centro Universitário,000000004204608,Criciúma,SC,Ativa
3397,"FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS, SOCIAIS E BIOTECNOLÓGICAS",FBNCTSB,Privada,N,N,N,Faculdade,000000001302603,Manaus,AM,Ativa
21654,Faculdade de Engenharia e Agrimensura de São Paulo,FEASP,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
21693,Faculdade Anhanguera Franca,FAF,Privada,N,N,N,Faculdade,000000003516200,Franca,SP,Ativa
17875,Faculdade Católica de Belém,FACBEL,Privada,N,N,N,Faculdade,000000001500800,Ananindeua,PA,Ativa
374,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,Privada,N,N,N,Centro Universitário,000000003550308,São Paulo,SP,Ativa
17288,Faculdade Teológica Betânia,FATEBE,Privada,N,S,N,Faculdade,000000004106902,Curitiba,PR,Ativa
78,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE,FAFIA,Pública,N,N,N,Faculdade,000000003200201,Alegre,ES,Ativa
20321,FACULDADE IMPACTO,,Privada,N,N,N,Faculdade,000000002704302,Maceió,AL,Ativa
339,FACULDADE UNINEVES,null,Privada,N,N,N,Faculdade,000000002507507,João Pessoa,PB,Ativa
14429,FACULDADE ANHANGUERA DE MACEIÓ,,Privada,N,N,N,Faculdade,000000002704302,Maceió,AL,Ativa
4010,CENTRO UNIVERSITÁRIO METODISTA,IPA,Privada,S,S,N,Centro Universitário,000000004314902,Porto Alegre,RS,Ativa
26377,Faculdade Favenorte de Espinosa,FAFE,Privada,N,N,N,Faculdade,000000003124302,Espinosa,MG,Ativa
4899,FACULDADE DE CIÊNCIAS MÉDICAS DA BAHIA,CIENCIAS MEDICAS,Privada,N,N,N,Faculdade,000000002927705,Santa Cruz Cabrália,BA,Extinta
14785,FACULDADE DE TECNOLOGIA SENAI MARINGÁ,,Privada,N,N,N,Faculdade,000000004115200,Maringá,PR,Extinta
2113,FACULDADE DOM BOSCO DE PORTO ALEGRE,FDB,Privada,S,N,N,Faculdade,000000004314902,Porto Alegre,RS,Ativa
19913,Faculdade Estácio de Jataí Estácio Jataí,Estácio Jataí,Privada,N,N,N,Faculdade,000000005211909,Jataí,GO,Extinta
13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Privada,S,N,N,Universidade,000000004305108,Caxias do Sul,RS,Ativa
789,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,Pública,N,N,N,Universidade,000000001400100,Boa Vista,RR,Ativa
11752,FACULDADE SUDOESTE PAULISTA - TATUÍ - FSP,TATUÍ - FSP,Privada,N,N,N,Faculdade,000000003554003,Tatuí,SP,Extinta
15468,Faculdade Presidente Antônio Carlos de Leopoldina,,Privada,N,N,N,Faculdade,000000003138401,Leopoldina,MG,Ativa
1995,FACULDADE DE MEDICINA NOVA ESPERANÇA,FAMENE,Privada,N,N,N,Faculdade,000000002507507,João Pessoa,PB,Ativa
5315,Faculdades Unificadas de Iúna,FUI,Privada,N,N,N,Faculdade,000000003203007,Iúna,ES,Ativa
609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,Pública,N,N,N,Universidade,000000004104808,Cascavel,PR,Ativa
15504,FACULDADE IRECÊ,FAI,Privada,N,N,N,Faculdade,000000002914604,Irecê,BA,Ativa
22975,UNICORP FACULDADES,UNICORP,Privada,N,N,N,Faculdade,000000002507507,João Pessoa,PB,Ativa
4815,FACULDADE DE TECNOLOGIA SENAI NADIR DIAS DE FIGUEIREDO,null,Privada,N,N,N,Faculdade,000000003534401,Osasco,SP,Ativa
1524,FACULDADE OLGA METTIG,FAMETTIG,Privada,N,N,N,Faculdade,000000002927408,Salvador,BA,Ativa
3295,FACULDADE SENAC FLORIANÓPOLIS,SENAC FLORIANÓPOLIS,Privada,N,N,N,Faculdade,000000004205407,Florianópolis,SC,Ativa
13630,ESCOLA SUPERIOR DO MINISTÉRIO PÚBLICO DA UNIÃO,ESMPU,Pública,N,N,N,Escola de Governo,000000005300108,Brasília,DF,Ativa
2200,FACULDADE VALE DO GORUTUBA,FAVAG,Privada,N,N,N,Faculdade,000000003145059,Nova Porteirinha,MG,Ativa
25466,Faculdade de Ensino Jurídico de Vitória,FEJ,Privada,N,N,N,Faculdade,000000003205309,Vitória,ES,Ativa
482,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Privada,S,N,N,Universidade,000000004204608,Criciúma,SC,Ativa
25425,Faculdade UNIFATELOS,null,Privada,N,N,N,Faculdade,000000003509502,Campinas,SP,Ativa
1198,FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ,FACET,Privada,N,N,N,Faculdade,000000004106902,Curitiba,PR,Extinta
1918,Centro Universitário Univinte,null,Privada,N,N,N,Centro Universitário,000000004203956,Capivari de Baixo,SC,Ativa
1601,FACULDADE CIDADE DE COROMANDEL,FCC,Privada,N,N,N,Faculdade,000000003119302,Coromandel,MG,Ativa
24056,Faculdade de Saúde do Sertão de Pernambuco,FASPE,Privada,N,N,N,Faculdade,000000002605707,Floresta,PE,Ativa
281,CONSERVATÓRIO DRAMÁTICO MUSICAL SÃO PAULO,CDMSP,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Extinta
2334,FACULDADE CNEC RIO DAS OSTRAS,null,Privada,S,N,N,Faculdade,000000003304524,Rio das Ostras,RJ,Ativa
14892,FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA,FACISB,Privada,N,N,N,Faculdade,000000003505500,Barretos,SP,Ativa
3456,FACULDADE POLITÉCNICA DE CAMPINAS,POLICAMP,Privada,N,N,N,Faculdade,000000003509502,Campinas,SP,Ativa
20700,FACULDADE DE DESENVOLVIMENTO DO NORTE,FADENORTE,Privada,N,N,N,Faculdade,000000003161106,São Francisco,MG,Ativa
1828,ESCOLA DA CIDADE - FACULDADE DE ARQUITETURA E URBANISMO,ESCOLA DA CIDADE,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
1231,FACULDADE CNEC SANTO ÂNGELO,null,Privada,S,N,N,Faculdade,000000004317509,Santo Ângelo,RS,Ativa
2576,FACULDADE ANHANGUERA UNIDADE GUARAPARI,null,Privada,N,N,N,Faculdade,000000003202405,Guarapari,ES,Ativa
1119,"FACULDADE PLANALTO DE FILOSOFIA, CIÊNCIAS E LETRAS",FACPLAN,Privada,N,N,N,Faculdade,000000005300108,Brasília,DF,Extinta
21896,FACULDADE MAURÍCIO DE NASSAU DE DIVINÓPOLIS,FMN DIVINÓPOLIS,Privada,N,N,N,Faculdade,000000003122306,Divinópolis,MG,Extinta
10020,INSTITUTO LOGOS DE EDUCAÇÃO SUPERIOR,ILES,Privada,N,N,N,Faculdade,000000002708402,São José da Tapera,AL,Extinta
2366,FACULDADE DE SISTEMAS DE INFORMAÇÃO DE PARAÍSO DO TOCANTINS,FSIP,Privada,N,N,N,Faculdade,000000001716109,Paraíso do Tocantins,TO,Extinta
16918,FACULDADE CATÓLICA DE FEIRA DE SANTANA,,Privada,N,N,N,Faculdade,000000002910800,Feira de Santana,BA,Ativa
475,FACULDADE DE MEDICINA DE PETRÓPOLIS,FMP,Privada,N,N,N,Faculdade,000000003303906,Petrópolis,RJ,Ativa
5503,FACULDADES COC DE BRASÍLIA,FACOCBR,Privada,N,N,N,Faculdade,000000005300108,Brasília,DF,Extinta
2854,FACULDADE CONHECER,FC,Privada,N,N,N,Faculdade,000000003204906,São Mateus,ES,Extinta
26294,Faculdade Livre do Brasil,FLB,Privada,N,N,N,Faculdade,000000005107875,Sapezal,MT,Ativa
22775,Faculdade Garça Branca Pantanal,FGB,Privada,N,N,N,Faculdade,000000005103403,Cuiabá,MT,Ativa
4748,FACULDADE DE BRUSQUE,null,Privada,N,N,N,Faculdade,000000004202909,Brusque,SC,Extinta
15833,FACULDADE 2001,,Privada,N,N,N,Faculdade,000000002611606,Recife,PE,Extinta
17400,Faculdade Menino Deus,FAMED,Privada,N,N,N,Faculdade,000000004314902,Porto Alegre,RS,Extinta
15428,Faculdade UNIRB - NATAL,F. UNIRB,Privada,N,N,N,Faculdade,000000002408102,Natal,RN,Ativa
1958,Centro Universitário SENAI Santa Catarina,UNISENAI,Privada,N,N,N,Centro Universitário,000000004202404,Blumenau,SC,Ativa
26118,FACULDADE APRENDIZ,FAP,Privada,N,N,N,Faculdade,000000003105608,Barbacena,MG,Ativa
17587,Faculdade Humboldt,FH,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Extinta
432,FACULDADE PARANAENSE,FACCAR,Privada,N,N,N,Faculdade,000000004122404,Rolândia,PR,Ativa
17854,Centro Universitário UniFECAF,UniFECAF,Privada,N,N,N,Centro Universitário,000000003552809,Taboão da Serra,SP,Ativa
25148,FACULDADE BRIDGE - THE WORLD SCHOOL,BRIDGE,Privada,N,N,N,Faculdade,000000003529005,Marília,SP,Ativa
21636,FACULDADE TERRA BRASILIS,,Privada,N,N,N,Faculdade,000000005100359,Alto Boa Vista,MT,Ativa
3979,FACULDADE DE BAURU,-,Privada,N,N,N,Faculdade,000000003506003,Bauru,SP,Extinta
11807,Istituto Europeo di Design,IED SP,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
26248,UFAPE INTERCURSOS,UFAPE,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
21444,Faculdade Ágape de São Félix,,Privada,N,N,N,Faculdade,000000001507300,São Félix do Xingu,PA,Ativa
3187,INSTITUTO SUPERIOR DE EDUCAÇÃO CORAÇÃO DE JESUS,ISECJ,Privada,N,N,N,Faculdade,000000003169406,Três Pontas,MG,Extinta
4983,FACULDADE IBRA DE TECNOLOGIA,FACULDADE FITEC,Privada,N,N,N,Faculdade,000000003549904,São José dos Campos,SP,Ativa
18072,Faculdade de Direito TECH de São Paulo,FADITECH,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
26085,FACULDADE APM,FAPM,Privada,N,N,N,Faculdade,000000005208707,Goiânia,GO,Ativa
848,FACULDADE PARAIBANA DE PROCESSAMENTO DE DADOS,FPPD,Privada,N,N,N,Faculdade,000000002507507,João Pessoa,PB,Extinta
19780,Faculdade Anhanguera Unopar de Guanambi,null,Privada,N,N,N,Faculdade,000000002911709,Guanambi,BA,Ativa
23908,FACULDADE SÃO FRANCISCO DO CEARÁ - CRATO,FASC,Privada,N,N,N,Faculdade,000000002304202,Crato,CE,Ativa
24055,FACULDADE FASIPE DE PRIMAVERA,FFP,Privada,N,N,N,Faculdade,000000005107040,Primavera do Leste,MT,Ativa
17224,Faculdade Cesmac do Sertão,CESMAC Sertão,Privada,N,N,N,Faculdade,000000002706307,Palmeira dos Índios,AL,Ativa
167,UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,Privada,S,N,N,Universidade,000000003548708,São Bernardo do Campo,SP,Ativa
4396,CENTRO UNIVERSITÁRIO DE MINEIROS,UNIFIMES,Pública,N,N,N,Centro Universitário,000000005213103,Mineiros,GO,Ativa
26170,"FACULDADE DE ADMIN, TECNOL., EDUÇ E DESENV. HUMANO",FATEDH,Privada,N,N,N,Faculdade,000000005006606,Ponta Porã,MS,Ativa
18062,Faculdade Marechal Rondon,,Privada,N,N,N,Faculdade,000000001100304,Vilhena,RO,Ativa
4998,FACULDADE DE TECNOLOGIA INESUL DO PARANÁ,FIPAR,Privada,N,N,N,Faculdade,000000004106902,Curitiba,PR,Extinta
22578,FACULDADE CENSUPEG,,Privada,N,N,N,Faculdade,000000004209102,Joinville,SC,Ativa
74,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO,FFCL,Pública,N,N,N,Faculdade,000000003549706,São José do Rio Pardo,SP,Ativa
21631,FACULDADE SUPREMO REDENTOR,FACSUR,Privada,N,N,N,Faculdade,000000002108603,Pinheiro,MA,Ativa
308,CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS,UNIPAC,Privada,N,N,N,Centro Universitário,000000003105608,Barbacena,MG,Ativa
25657,FACULDADE ITH,ITH,Privada,N,N,N,Faculdade,000000005208707,Goiânia,GO,Ativa
5442,Faculdade Presidente Antônio Carlos de Nova Lima,null,Privada,N,N,N,Faculdade,000000003100104,Abadia dos Dourados,MG,Extinta
939,FACULDADE CATÓLICA DE ANÁPOLIS,CATÓLICA DE ANÁPOLIS,Privada,N,N,N,Faculdade,000000005201108,Anápolis,GO,Ativa
21556,FACULDADE DE GOIANA,FAG,Privada,N,N,N,Faculdade,000000002606200,Goiana,PE,Ativa
11951,FACULDADE DO SERTÃO BAIANO,FASBE,Privada,N,N,N,Faculdade,000000002921500,Monte Santo,BA,Ativa
14218,Faculdade Presidente Antônio Carlos de Luminárias,FUNEES,Privada,N,N,N,Faculdade,000000003138708,Luminárias,MG,Extinta
14172,Faculdade Presidente Antônio Carlos de Poté,FUNEES Poté,Privada,N,N,N,Faculdade,000000003152402,Poté,MG,Extinta
1107,Centro Universitário Estácio do Ceará,Estácio Ceará,Privada,N,N,N,Centro Universitário,000000002304400,Fortaleza,CE,Ativa
1014,INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC,BOM JESUS/IELUSC,Privada,S,N,N,Faculdade,000000004209102,Joinville,SC,Ativa
25880,Instituto de Ensino de Segurança do Pará,IESP,Pública,N,N,N,Faculdade,000000001504422,Marituba,PA,Ativa
1402,INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS,ICSH,Privada,N,N,N,Faculdade,000000005221858,Valparaíso de Goiás,GO,Ativa
26341,Faculdade da Fronteira Oeste,UNIFRON,Privada,N,N,N,Faculdade,000000005003702,Dourados,MS,Ativa
15507,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Pública,N,N,N,"Instituto Federal de Educação, Ciência e Tecnologia",000000001200401,Rio Branco,AC,Ativa
15873,Faculdade Itaquá,UNEITAQUÁ,Privada,N,N,N,Faculdade,000000003523107,Itaquaquecetuba,SP,Extinta
18631,FACULDADE DO VALE DO RIO ARINOS,AJES,Privada,N,N,N,Faculdade,000000005105101,Juara,MT,Ativa
3007,FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE CAMPINAS,FAC. INPG - CAMPINAS,Privada,N,N,N,Faculdade,000000003509502,Campinas,SP,Extinta
2351,FACULDADE ESPÍRITO SANTENSE DE CIÊNCIAS JURÍDICAS,PIO XII - DIR,Privada,N,N,N,Faculdade,000000003201308,Cariacica,ES,Ativa
24847,Faculdade de Tecnologia e Ciências de Teresina,FTC TERESINA,Privada,N,N,N,Faculdade,000000002211001,Teresina,PI,Extinta
1674,INSTITUTO SALESIANO DE FILOSOFIA,INSAF,Privada,N,N,N,Faculdade,000000002611606,Recife,PE,Extinta
423,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,Privada,S,N,S,Universidade,000000004307005,Erechim,RS,Ativa
2755,Centro Universitário Uniasselvi de Brusque,null,Privada,N,N,N,Centro Universitário,000000004202909,Brusque,SC,Ativa
910,FACULDADE SANTA LÚCIA,FCACSL,Privada,N,N,N,Faculdade,000000003530805,Moji Mirim,SP,Ativa
1058,Centro Universitário Estácio da Bahia,Estácio Bahia,Privada,N,N,N,Centro Universitário,000000002927408,Salvador,BA,Ativa
990,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CONGONHAS,FAFIC,Privada,N,N,N,Faculdade,000000003118007,Congonhas,MG,Extinta
450,Afya Centro Universitário de Ji-Paraná,Afya Ji-Paraná,Privada,N,S,N,Centro Universitário,000000001100122,Ji-Paraná,RO,Ativa
23798,Faculdade de Ciências e Educação em Saúde,FACCESA,Privada,N,N,N,Faculdade,000000002611606,Recife,PE,Ativa
3332,FACULDADE DE TECNOLOGIA SENAC RIO,FATEC,Privada,N,N,N,Faculdade,000000003304557,Rio de Janeiro,RJ,Ativa
5550,FACULDADE ANHANGUERA DE ANÁPOLIS,null,Privada,N,N,N,Faculdade,000000005201108,Anápolis,GO,Ativa
22184,Faculdade de Ciências Jurídicas de Rio Verde,,Privada,N,N,N,Faculdade,000000005218805,Rio Verde,GO,Extinta
18979,Faculdade Multivix Vila Velha,MULTIVIX VILA V,Privada,N,N,N,Faculdade,000000003205200,Vila Velha,ES,Ativa
14261,Faculdade Presidente Antônio Carlos de Conselheiro Pena,,Privada,N,N,N,Faculdade,000000003118403,Conselheiro Pena,MG,Extinta
17674,Faculdade de Educação de São Mateus,,Privada,N,N,N,Faculdade,000000002111508,São Mateus do Maranhão,MA,Ativa
3682,INSTITUTO SUPERIOR DE EDUCAÇÃO DO MUNICÍPIO DE ITAPERUNA,ISEMI,Pública,N,N,N,Faculdade,000000003302205,Itaperuna,RJ,Ativa
24160,Instituto de Ensino Superior Agostiniano CASA GAIA,,Privada,N,N,N,Faculdade,000000003118601,Contagem,MG,Ativa
4766,Centro Universitário UNA de Contagem,null,Privada,N,N,N,Centro Universitário,000000003118601,Contagem,MG,Ativa
29059,FACULDADE METROPOLITANA DE BRASÍLIA,FAMETRO BSB,Privada,N,N,N,Faculdade,000000005300108,Brasília,DF,Ativa
24455,ESCOLA DE SAÚDE PÚBLICA CÂNDIDO SANTIAGO,ESAP,Pública,N,N,N,Escola de Governo,000000005208707,Goiânia,GO,Ativa
11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Privada,S,S,N,Universidade,000000002611606,Recife,PE,Ativa
4007,"FATECE - FACULDADE DE TECNOLOGIA, CIÊNCIAS E EDUCAÇÃO",FATECE,Privada,N,N,N,Faculdade,000000003539301,Pirassununga,SP,Ativa
1928,Faculdade CNEC Capitão Lemos Cunha,null,Privada,S,N,N,Faculdade,000000003304557,Rio de Janeiro,RJ,Ativa
